Company Name,Funding Type,LinkedIn Company URL,Website URL
Reelist,Seed,https://www.linkedin.com/company/reelist/,https://www.reelist.com/
NodeGo AI,Seed,,https://nodego.ai/
Zeta,Venture,https://www.linkedin.com/company/zetasuite,https://www.zeta.tech/us/
Mixedbread,Seed,https://www.linkedin.com/company/mixedbread-ai,https://mixedbread.ai/
Pagaya,post-IPO debt,https://www.linkedin.com/company/pagaya,https://www.pagaya.com/
GorillaTech.ai,Pre-Seed,https://www.linkedin.com/company/gorilla-tech-ai/,https://www.gorillapay.ai/
UVIONIX,Seed,https://www.linkedin.com/company/uvionix,http://www.uvionix.com/
Self Inspection,Seed,https://www.linkedin.com/company/selfinspection,https://www.selfinspection.com/
ZeroEyes,Grant,https://www.linkedin.com/company/zeroeyes-ai,https://zeroeyes.com/
TrueFoundry,Series A,https://www.linkedin.com/company/truefoundry,http://truefoundry.com/
Cognida.ai,Series A,https://www.linkedin.com/company/cognida-ai/,https://cognida.ai/
Pendulum Systems (formerly Macro-Eyes),Grant,https://www.linkedin.com/company/pendulumglobal/,https://www.pendulum.global/
TaxGPT,Seed,https://www.linkedin.com/company/taxgpt,https://www.taxgpt.com/
Streetbeat,Venture,https://www.linkedin.com/company/streetbeat-com,https://streetbeat.com/
DevAI,Seed,https://linkedin.com/company/devai,https://dev-ai.com/
And AI,Seed,https://www.linkedin.com/company/and-ai/,https://www.tryandai.com/
MagicBlocks,Seed,https://www.linkedin.com/company/magicblocks,https://magicblocks.ai/
Ivo,Series A,https://www.linkedin.com/company/latchapp,https://www.ivo.ai/
Astra Security,Venture,https://www.linkedin.com/company/getastra,https://www.getastra.com/
7AI,Seed,https://www.linkedin.com/company/seven-ai,https://7ai.com/
MagicSchool AI,Series B,https://www.linkedin.com/company/magicschool-ai,https://www.magicschool.ai/
AtomBeam,Venture,https://www.linkedin.com/company/atombeam,https://atombeamtech.com/
TerraForce,Convertible Note,https://www.linkedin.com/company/terraforceai,https://terraforce.ai/
Jump,Series A,https://www.linkedin.com/company/jump-app-ai/,https://jumpapp.com/
GenLogs,Series A,https://www.linkedin.com/company/genlogs/,https://www.genlogs.io/
Quantum Fund LLC,Series A,https://www.linkedin.com/company/quantum-fund-llc/,https://quantumfund.us/
